Temperature,Humidity,SleepScore
28.1,51.0,72.3
21.9,63.6,99.4
30.7,57.4,47.3
27.2,67.1,70.4
19.6,69.0,99.2
31.8,66.0,38.1
17.6,75.2,86.7
29.0,44.9,67.4
23.5,64.7,93.5
22.5,80.5,96.9
31.7,49.0,39.3
21.7,79.3,98.1
18.5,59.4,88.0
21.2,54.6,100.0
23.7,36.2,100.0
16.8,47.4,78.5
31.2,60.3,41.4
23.8,81.9,86.5
29.0,79.2,50.0
21.9,71.2,97.6
31.4,51.9,41.7
16.3,34.2,67.3
26.3,38.6,84.8
27.8,71.1,61.7
28.9,71.2,57.7
17.3,82.9,92.5
25.8,76.7,76.1
22.8,63.8,98.7
29.4,28.2,67.7
17.6,75.7,87.9
18.8,51.9,91.9
22.7,77.2,92.5
23.0,76.6,94.3
29.0,48.8,65.6
31.0,35.0,51.1
28.3,73.7,57.7
28.5,51.7,65.8
22.5,68.0,99.3
21.2,37.4,94.3
17.9,67.5,88.1
30.6,46.8,54.1
29.4,73.7,48.8
26.3,59.4,82.4
19.2,60.2,93.3
18.6,33.1,82.8
31.0,65.7,40.7
30.8,59.3,42.2
30.1,62.5,47.2
26.3,31.6,90.3
25.7,48.8,87.1
24.3,45.1,93.7
28.8,33.9,69.3
28.0,42.6,75.4
22.7,50.7,98.0
22.2,61.2,96.6
23.5,46.3,95.7
25.5,33.6,92.5
22.0,78.1,97.3
17.9,78.8,90.7
26.6,63.6,74.5
18.9,83.6,98.6
16.7,53.2,75.3
29.4,81.7,46.7
23.4,80.0,88.5
30.4,57.3,50.8
29.3,42.5,62.8
31.5,58.6,38.2
31.2,61.9,41.8
28.4,63.6,63.0
23.2,35.5,96.6
19.0,29.2,84.5
24.9,83.4,82.2
18.3,61.7,87.3
18.0,67.1,90.7
17.5,50.5,80.3
26.0,67.7,81.2
28.3,32.9,73.6
28.0,66.3,66.4
20.0,77.8,96.3
25.2,79.2,82.6
28.3,36.2,71.8
25.5,57.7,85.2
17.4,84.6,88.8
25.7,61.3,80.1
25.0,62.7,84.5
19.9,55.9,93.7
21.7,40.7,100.0
16.7,49.6,77.2
18.5,53.8,90.7
31.7,45.6,41.6
31.2,68.9,35.1
27.5,70.7,64.4
20.5,65.4,98.9
28.0,59.2,65.7
20.4,79.9,100.0
28.1,32.4,73.8
20.4,71.7,100.0
24.2,67.5,91.3
29.2,82.8,49.0
28.3,60.4,67.8
21.6,40.2,97.8
30.9,40.4,51.0
21.5,73.8,98.3
22.3,30.0,98.1
22.0,72.6,99.7
29.7,53.5,56.5
28.8,60.4,62.5
24.8,35.1,91.9
17.8,72.3,90.3
30.5,48.0,49.2
18.0,47.2,81.8
24.4,64.4,91.8
16.9,25.3,69.8
26.9,57.3,75.3
24.3,61.1,89.9
28.6,51.6,65.2
30.5,64.0,44.9
20.0,76.0,96.4
28.5,67.7,61.7
18.4,45.6,88.0
24.5,49.5,94.0
27.6,45.2,75.1
28.6,80.4,53.2
25.5,45.5,88.8
29.6,27.7,70.0
27.2,81.6,65.4
21.0,75.5,98.5
20.2,40.1,93.9
25.4,25.5,92.9
21.8,77.6,96.9
21.6,50.8,97.2
25.9,27.8,91.4
29.8,66.0,53.1
17.1,65.7,83.1
22.0,63.6,99.8
17.4,38.3,76.1
17.1,27.8,69.0
21.6,56.4,97.6
28.5,37.0,69.6
30.0,74.2,46.8
22.1,51.1,97.0
22.8,66.8,93.9
19.8,72.5,99.2
19.4,46.9,93.8
19.8,82.6,96.7
24.4,82.0,82.8
21.0,27.8,93.2
29.9,72.5,44.6
19.8,54.0,97.3
19.4,58.4,93.4
16.3,32.9,69.1
21.3,50.1,100.0
20.4,37.7,92.6
29.4,25.2,67.3
20.7,33.3,95.7
24.0,68.8,88.7
30.7,31.7,58.3
18.9,40.0,84.3
26.4,30.2,88.6
29.2,66.1,56.5
28.1,25.8,77.2
17.6,31.4,76.7
17.4,45.6,79.3
19.8,63.8,95.0
25.6,61.2,82.0
23.8,48.6,96.4
29.1,32.0,68.6
19.2,71.2,93.6
20.5,79.4,98.7
27.6,49.6,74.8
26.0,40.9,87.0
31.0,36.1,49.9
26.4,72.6,73.4
27.7,38.8,75.1
