Temperature,Humidity,SleepScore
27.7,83.5,69.3
17.4,58.2,79.0
22.8,57.8,89.4
25.8,81.6,72.4
20.2,53.5,88.1
27.5,67.4,77.4
18.7,44.7,91.7
29.1,84.6,59.6
25.1,26.7,75.3
30.5,68.9,63.7
28.6,58.5,71.2
19.5,66.9,84.6
28.1,35.1,77.6
26.0,34.0,80.9
22.4,40.0,98.8
22.2,76.2,90.3
28.9,39.4,70.8
23.3,69.6,81.8
25.8,76.0,72.6
22.7,52.6,99.6
26.6,81.6,68.2
26.7,57.9,82.3
21.8,48.2,99.9
26.1,33.3,75.5
19.1,72.1,83.4
30.8,83.1,58.4
29.4,71.0,67.0
18.9,51.2,85.9
26.8,38.0,83.8
31.6,84.0,56.6
18.8,78.1,73.6
17.2,34.1,81.7
22.4,71.5,92.4
23.1,39.7,87.7
22.3,67.9,94.2
28.3,25.6,64.1
23.8,53.3,89.1
16.6,77.5,65.1
22.6,43.3,91.7
21.4,45.2,100.0
28.7,47.6,73.4
29.1,33.6,65.5
21.2,49.3,92.3
19.2,34.1,87.3
18.2,52.2,85.2
16.6,84.6,69.2
19.6,70.5,82.2
27.7,66.9,70.7
24.5,66.3,86.8
20.0,76.4,79.2
23.2,62.9,94.5
27.7,61.3,75.4
30.2,80.1,55.2
28.9,56.2,78.2
20.3,57.1,91.5
26.0,49.5,86.9
17.2,60.5,82.9
20.1,76.6,78.4
18.0,84.9,74.5
22.8,52.8,96.7
30.6,27.8,59.2
20.8,43.4,95.7
19.1,54.8,89.6
21.0,78.2,85.1
18.2,40.8,82.3
25.0,57.8,86.6
16.3,67.7,75.6
17.9,43.6,80.7
16.4,38.8,73.6
21.6,60.8,90.6
26.9,62.5,77.4
17.6,52.2,80.5
29.6,63.6,73.3
20.2,82.7,76.8
20.2,43.5,87.3
29.5,72.4,66.7
25.5,45.2,89.6
26.9,46.4,86.0
22.1,54.5,100.0
22.9,65.1,85.2
22.7,35.5,86.3
28.4,53.8,73.3
21.1,43.4,96.5
24.4,42.9,84.2
30.4,50.9,71.3
17.4,28.8,71.0
26.7,39.9,79.9
28.2,25.3,65.2
27.2,65.7,78.8
28.4,45.8,74.9
24.1,49.9,97.3
22.7,59.0,89.8
25.2,81.4,74.1
24.8,32.7,78.6
23.3,49.1,97.0
26.1,58.2,80.0
29.3,35.7,74.5
19.4,50.0,90.3
20.9,70.1,85.1
30.1,59.6,66.2
22.9,79.6,78.2
25.9,38.2,83.0
30.0,63.7,65.0
25.1,65.1,79.0
26.9,34.3,76.4
17.2,59.4,77.1
18.4,77.2,73.8
29.0,73.9,61.9
28.1,46.6,82.8
21.5,67.2,92.8
20.8,76.3,78.9
24.1,28.7,85.9
25.6,84.5,75.2
23.7,49.7,93.9
25.2,37.1,85.6
31.6,37.2,59.5
29.4,25.6,63.7
29.4,79.7,66.4
21.7,62.8,92.7
18.3,62.2,81.8
30.1,81.8,62.3
23.6,71.0,84.9
29.7,42.5,75.1
30.0,58.5,75.9
16.0,66.2,70.9
28.2,44.3,82.1
17.8,79.5,76.0
17.9,33.6,78.1
18.9,82.0,71.0
28.6,63.3,76.9
18.9,54.9,89.2
17.3,75.2,76.4
27.0,59.7,83.0
18.9,67.8,82.0
30.5,60.5,72.0
29.2,82.9,60.1
27.1,58.0,83.6
24.4,70.8,83.3
23.1,65.8,86.4
21.0,56.4,96.5
17.6,50.6,87.6
17.7,72.6,74.1
30.5,51.7,76.3
22.8,69.6,90.1
28.4,42.3,73.8
27.1,28.2,69.9
17.4,79.7,70.7
18.0,27.1,77.6
19.7,70.4,78.5
30.9,62.9,69.6
20.3,71.1,82.3
28.1,45.2,82.9
29.4,83.4,57.5
24.3,27.8,80.6
28.9,72.9,62.9
31.5,81.6,50.4
17.8,56.3,80.0
25.0,32.3,84.4
29.9,62.1,70.9
29.8,65.3,71.4
20.9,67.5,87.9
29.2,40.9,70.9
20.7,76.7,82.8
20.9,39.5,86.5
29.3,65.6,66.5
32.0,41.3,69.2
31.6,43.9,70.4
19.0,75.3,81.9
30.8,44.1,71.3
21.7,47.9,96.6
25.3,51.4,84.4
28.2,53.8,75.1
31.5,79.2,61.0
24.6,47.8,95.3
23.6,37.1,85.0
19.0,61.5,83.7
25.9,72.2,72.6
28.8,31.2,71.5
19.7,40.2,91.8
22.3,55.9,92.2
25.9,30.7,77.4
18.4,62.3,83.2
28.9,35.6,68.5
21.9,42.9,94.0
29.7,38.4,66.6
24.5,75.9,81.7
30.2,77.9,59.2
23.6,74.2,83.7
26.6,77.2,69.4
27.0,79.7,74.4
30.5,27.0,62.8
24.2,54.1,92.7
16.7,42.3,84.7
17.6,78.1,71.8
18.9,45.0,90.0
22.9,84.9,83.7
29.8,39.9,75.6
27.6,50.3,83.3
29.6,74.8,66.9
24.4,59.6,84.0
30.5,77.5,55.6
31.2,45.5,66.8
18.5,45.1,86.0
23.7,28.4,86.8
31.4,31.6,58.8
29.4,52.4,80.4
18.8,81.4,70.9
25.5,40.8,88.4
23.6,74.6,78.8
25.2,43.9,84.9
28.0,73.4,66.9
29.1,34.3,66.6
30.8,34.3,65.7
16.8,69.8,73.8
27.7,55.6,80.3
25.4,80.6,71.1
18.5,57.4,86.8
29.3,71.3,67.7
16.1,25.5,69.0
21.2,61.6,90.4
28.1,83.9,65.6
23.7,71.5,85.9
24.5,41.6,92.7
20.7,58.0,93.1
31.4,73.7,54.4
25.1,59.3,81.0
18.3,67.1,83.8
30.1,46.7,72.0
24.6,62.5,89.7
28.5,80.4,61.3
28.5,52.6,82.2
26.7,30.6,76.6
19.8,49.0,92.0
18.2,82.1,71.1
16.6,49.4,81.9
28.6,73.9,72.4
20.2,28.4,79.9
26.4,81.9,66.2
26.1,45.5,86.8
26.4,64.5,75.3
28.7,78.5,62.5
27.5,75.5,73.2
17.1,53.1,86.9
26.8,42.5,78.7
27.9,63.8,77.7
23.9,49.7,96.6
16.4,48.9,84.4
28.2,38.7,71.1
25.9,55.2,82.9
29.5,49.6,72.4
21.9,56.0,98.7
19.7,26.3,84.1
30.1,76.0,57.6
28.1,48.1,81.4
19.7,59.4,93.2
18.3,62.9,79.0
26.7,33.9,81.3
17.1,83.3,67.4
31.5,71.2,59.8
24.6,68.4,87.5
18.7,29.6,77.0
31.6,53.2,66.4
