Temperature,Humidity,SleepScore
16.2,73.0,32.1
26.7,80.9,54.7
22.1,50.1,94.5
26.1,82.6,69.1
19.1,55.3,75.2
16.4,62.9,78.5
18.7,32.1,80.7
26.1,44.0,52.5
31.7,50.3,32.9
19.0,41.8,99.6
21.0,36.8,74.5
25.0,38.6,70.7
28.2,70.0,11.2
17.7,55.1,97.0
21.9,75.2,79.5
28.2,35.2,13.7
17.5,84.4,67.2
27.2,25.4,41.7
26.4,35.9,67.3
25.8,52.1,69.1
18.6,72.9,58.4
21.0,42.5,89.7
30.3,53.1,42.3
20.0,47.9,85.8
25.1,28.5,59.5
31.3,66.4,33.7
18.2,49.6,84.5
18.1,73.3,72.7
28.3,45.2,42.8
29.8,55.1,21.9
16.4,45.4,54.4
16.2,28.1,67.0
30.9,51.7,40.8
23.3,57.2,82.7
25.6,73.5,72.7
27.2,77.4,31.6
23.5,44.0,62.1
20.2,28.9,85.6
24.1,28.7,86.9
24.5,71.9,54.2
18.1,28.5,60.9
23.0,33.6,81.0
30.8,57.8,14.6
29.3,56.5,46.0
25.4,44.4,73.4
24.3,71.7,92.9
24.8,46.4,61.2
21.8,59.0,85.7
18.1,58.1,93.1
22.1,54.3,97.4
20.1,75.8,100.0
26.2,69.5,40.8
22.7,27.9,71.2
25.5,61.7,49.9
24.7,30.3,85.4
16.3,54.2,44.8
20.5,73.1,94.0
23.5,25.8,68.0
21.1,33.2,95.0
22.9,61.3,66.7
25.8,70.3,55.8
27.3,47.5,49.2
31.4,44.7,0.0
21.2,31.9,85.4
25.9,30.4,64.1
27.4,65.3,47.8
25.1,83.4,69.2
24.6,65.9,57.3
28.3,46.4,35.9
26.9,48.1,64.1
19.8,38.1,95.4
30.7,52.7,5.4
20.9,57.7,100.0
24.4,52.5,71.6
24.3,28.5,73.4
22.2,79.7,62.8
22.6,42.9,100.0
20.9,66.2,92.5
19.9,69.3,80.6
27.3,34.3,61.2
23.3,25.6,71.9
30.9,58.9,12.7
30.4,76.4,28.2
24.5,32.3,59.0
22.4,67.0,91.7
17.5,62.0,52.4
22.6,55.7,93.1
29.3,27.0,13.1
29.5,27.8,52.4
17.5,43.9,98.0
26.0,39.6,78.8
24.5,57.1,56.5
28.0,39.3,68.4
25.1,32.5,82.7
31.5,55.3,14.5
23.8,40.2,57.5
30.8,57.1,29.3
28.8,48.6,17.8
28.7,75.1,63.3
23.9,66.9,79.4
26.5,38.3,64.4
24.0,58.4,85.0
25.4,27.0,54.9
